has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.298920,N/A,N/A,NIVEDITA SHIKSHATIRTHA,https://kys.udiseplus.gov.in/#/schooldetail/3424228/11,Purba Bardhaman,Memari-ii,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,"BIJUR, PURBA BARDHAMAN",713422,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.336025,N/A,N/A,NIVEDITA SHISHU NIKETAN,https://kys.udiseplus.gov.in/#/schooldetail/3496367/11,Purba Bardhaman,Galsi-i,2024-25,1-Primary,8-Un-Recognised,1 To 4,3-Co-educational,1-Rural,"VILL.UCHCHAGRAM,713406",713406,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.368748,N/A,N/A,NIVEDITA SHISHU NIKETAN,https://kys.udiseplus.gov.in/#/schooldetail/3448081/11,Purba Bardhaman,Jamalpur,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 5,3-Co-educational,1-Rural,"NABAGRAM, PURBA BARDHAMAN",713166,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.400800,N/A,N/A,NIVEDITA SIKSHA NIKETAN,https://kys.udiseplus.gov.in/#/schooldetail/3496350/11,Purba Bardhaman,Galsi-i,2024-25,1-Primary,8-Un-Recognised,1 To 4,3-Co-educational,1-Rural,"CHAKTENTUL, RONDIA, PURBA BARDHAMAN",713420,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.437395,N/A,N/A,NIVEDITA SISHU MANDIR,https://kys.udiseplus.gov.in/#/schooldetail/3447901/11,Purba Bardhaman,Burdwan-i,2024-25,1-Primary,8-Un-Recognised,1 To 4,3-Co-educational,1-Rural,"SADHANPUR HIGH SCHOOL, MORNING",713101,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.478132,N/A,N/A,NIVEDITA SISHU SIKHANIKETAN,https://kys.udiseplus.gov.in/#/schooldetail/3496650/11,Purba Bardhaman,Ketugram-i,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,1-Rural,"VILL AND PO PALITA, PS KETUGRAM, DIST PURBA BARDHAMAN, PIN 713132",713132,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.512402,N/A,N/A,NIZAMPUR F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448890/11,Purba Bardhaman,Raina-ii,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"NIZAMPUR,GOTAN,PURBA BARDHAMAN",712410,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.546645,N/A,N/A,NIZAMPUR RAYPARA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3448892/11,Purba Bardhaman,Raina-ii,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"NIZAMPUR,GOTAN,PURBA BARDHAMAN",712410,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.585897,N/A,N/A,NOARAH GOARAH JR BASIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448231/11,Purba Bardhaman,Kalna-ii,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"NOARAH, BOHARKULI, PURBA BARDHAMAN",712146,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:19.618058,N/A,N/A,NOHARDANGA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3423581/11,Purba Bardhaman,Bhatar,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"KHURUL, PURBA BARDHAMAN",713127,N/A
